Date,amundi
2015-08-19,1793.56
2015-08-20,1822.18
2015-08-21,1769.45
2015-08-24,1683.99
2015-08-25,1528.55
2015-08-26,1417.5
2015-08-27,1424.48
2015-08-28,1520.08
2015-08-03,1834.63
2015-08-31,1593.74
2015-08-04,1842.99
2015-08-05,1906.48
2015-08-06,1870.97
2015-08-07,1853.25
2015-09-01,1606.93
2015-09-10,1610.86
2015-09-11,1592.45
2015-09-14,1594.4
2015-09-15,1549.01
2015-09-16,1481.79
2015-09-17,1566.88
2015-09-18,1531.17
2015-09-02,1594.79
2015-09-21,1532.63
2015-09-22,1562.77
2015-09-23,1579.47
2015-09-24,1549.38
2015-09-25,1569.09
2015-09-28,1547.51
2015-09-29,1561.58
2015-09-03,1593.68
2015-09-30,1541.33
2015-09-04,1593.62
2015-09-07,1593.41
2015-09-08,1529.34
2015-09-09,1579.8
2016-01-11,1579.85
2016-01-12,1491.07
2016-01-13,1501.1
2016-01-14,1471.29
2016-01-15,1505.34
2016-01-18,1461.93
2016-01-19,1476.07
2016-01-20,1525.03
2016-01-21,1500.46
2016-01-22,1451.86
2016-01-25,1466.5
2016-01-26,1475.89
2016-01-27,1383.76
2016-01-28,1371.61
2016-01-29,1333.89
2016-01-04,1797.12
2016-01-05,1662.46
2016-01-06,1670.75
2016-01-07,1685.59
2016-01-08,1558.5
2016-10-10,1650.55
2016-10-11,1666.66
2016-10-12,1665.62
2016-10-13,1662.25
2016-10-14,1659.9
2016-10-17,1660.48
2016-10-18,1641.88
2016-10-19,1665.97
2016-10-20,1661.66
2016-10-21,1660.88
2016-10-24,1664.64
2016-10-25,1680.47
2016-10-26,1680.43
2016-10-27,1677.59
2016-10-28,1669.97
2016-10-03,1651
2016-10-31,1666.8
2016-10-04,1650.95
2016-10-05,1650.9
2016-10-06,1650.85
2016-10-07,1650.69
2016-11-10,1666.04
2016-11-11,1684.22
2016-11-14,1690.67
2016-11-15,1691.47
2016-11-16,1687.04
2016-11-17,1683.15
2016-11-18,1687.59
2016-11-02,1677.86
2016-11-21,1672.09
2016-11-22,1681.19
2016-11-23,1695.28
2016-11-24,1700.95
2016-11-25,1699.27
2016-11-28,1711.87
2016-11-29,1723.55
2016-11-03,1668.17
2016-11-30,1736.32
2016-11-04,1683.08
2016-11-07,1677.91
2016-11-08,1675.38
2016-11-09,1677.58
2016-12-01,1727.14
2016-12-12,1695.8
2016-12-13,1645.62
2016-12-14,1645.71
2016-12-15,1635.72
2016-12-16,1611.05
2016-12-19,1613.04
2016-12-02,1748.04
2016-12-20,1608.49
2016-12-21,1599.18
2016-12-22,1617.4
2016-12-23,1615.81
2016-12-27,1610.54
2016-12-28,1608.86
2016-12-29,1601.13
2016-12-30,1598.76
2016-12-05,1722.56
2016-12-06,1689.41
2016-12-07,1687.76
2016-12-08,1693.07
2016-12-09,1687.86
2016-02-01,1381.98
2016-02-10,1475.26
2016-02-11,1475.22
2016-02-12,1475.17
2016-02-15,1475.03
2016-02-16,1491.42
2016-02-17,1530.39
2016-02-18,1539.53
2016-02-19,1536.23
2016-02-02,1425.54
2016-02-22,1535.44
2016-02-23,1569.96
2016-02-24,1555.6
2016-02-25,1555.33
2016-02-26,1456.76
2016-02-29,1468.74
2016-02-03,1461.52
2016-02-04,1460.42
2016-02-05,1482.58
2016-02-08,1475.35
2016-02-09,1475.3
2016-03-01,1422.75
2016-03-10,1511.93
2016-03-11,1488.1
2016-03-14,1488.55
2016-03-15,1523.52
2016-03-16,1520.04
2016-03-17,1519.97
2016-03-18,1553.06
2016-03-02,1448.35
2016-03-21,1590.22
2016-03-22,1625.39
2016-03-23,1615.52
2016-03-24,1620.72
2016-03-29,1596
2016-03-03,1510.69
2016-03-30,1578.91
2016-03-31,1634.14
2016-03-04,1511.83
2016-03-07,1511.03
2016-03-08,1524.53
2016-03-09,1530.82
2016-04-01,1636.78
2016-04-11,1613.81
2016-04-12,1641.06
2016-04-13,1635.48
2016-04-14,1657.02
2016-04-15,1664.66
2016-04-18,1666.93
2016-04-19,1649.49
2016-04-20,1657.4
2016-04-21,1624.38
2016-04-22,1613.28
2016-04-25,1619.93
2016-04-26,1612.04
2016-04-27,1619.91
2016-04-28,1611.72
2016-04-29,1609.49
2016-04-04,1631.67
2016-04-05,1631.64
2016-04-06,1657.09
2016-04-07,1652.61
2016-04-08,1627.6
2016-05-10,1551.92
2016-05-11,1550.44
2016-05-12,1556.83
2016-05-13,1561.11
2016-05-17,1568.67
2016-05-18,1561.01
2016-05-19,1541.97
2016-05-02,1602.09
2016-05-20,1538.82
2016-05-23,1546.66
2016-05-24,1555.13
2016-05-25,1541.16
2016-05-26,1534.85
2016-05-27,1539.37
2016-05-03,1602.02
